section,character_id,scenario,aggression_bucket,variable_group,part_order,clip_category,file_name,spoken_text_to_record,unity_folder,sequence_example,notes
FULL_DIALOGUE_CLIPS,chinnamma_naik,HistoryQuestion,,,1,full,history_question_01.wav,"Hampi's markets are old and wise. Still, let us finish this trade first.",Assets/_Project/Audio/NPCVoices/Level1/chinnamma_naik/full/,history_question_01.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,chinnamma_naik,OffTopic,,,1,full,off_topic_01.wav,"Stay with the trade, merchant. I did not come for loose talk.",Assets/_Project/Audio/NPCVoices/Level1/chinnamma_naik/full/,off_topic_01.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,chinnamma_naik,PlayerRejectedBuyerOffer,,,1,full,reject_offer_01.wav,Then there is no deal. I do not chase unsteady bargains.,Assets/_Project/Audio/NPCVoices/Level1/chinnamma_naik/full/,reject_offer_01.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,chinnamma_naik,RepeatCustomerGreeting,,,1,full,greeting_02.wav,We meet again. Good. Then no wasting time on market tricks.,Assets/_Project/Audio/NPCVoices/Level1/chinnamma_naik/full/,greeting_02.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,chinnamma_naik,SellerPriceAccepted,,,1,full,accept_deal_01.wav,That is fair. We can close the account.,Assets/_Project/Audio/NPCVoices/Level1/chinnamma_naik/full/,accept_deal_01.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,chinnamma_naik,SellerPriceBelowExpected,,,1,full,seller_price_below_expected_01.wav,Hmm. That price is better than I expected.,Assets/_Project/Audio/NPCVoices/Level1/chinnamma_naik/full/,seller_price_below_expected_01.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,chinnamma_naik,SellerPriceTooHigh,,,1,full,price_too_high_01.wav,That price is too high.,Assets/_Project/Audio/NPCVoices/Level1/chinnamma_naik/full/,price_too_high_01.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,chinnamma_naik,SellerPriceTooHigh,low,,1,full,price_too_high_02.wav,That price is a little high. Reduce it and let us finish.,Assets/_Project/Audio/NPCVoices/Level1/chinnamma_naik/full/,price_too_high_02.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,chinnamma_naik,SellerPriceTooHigh,medium,,1,full,price_too_high_03.wav,That price is too high. I know the market better than that.,Assets/_Project/Audio/NPCVoices/Level1/chinnamma_naik/full/,price_too_high_03.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,chinnamma_naik,SellerPriceTooHigh,high,,1,full,price_too_high_04.wav,"No, that is too much. Do not try to fool me on spice rates.",Assets/_Project/Audio/NPCVoices/Level1/chinnamma_naik/full/,price_too_high_04.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
FULL_DIALOGUE_CLIPS,chinnamma_naik,SocialGreeting,,,1,full,social_greeting_01.wav,Good. Now let us come to the rate without extra sweetness.,Assets/_Project/Audio/NPCVoices/Level1/chinnamma_naik/full/,social_greeting_01.wav,Complete line. Spoken text uses sample values where the runtime line is dynamic.
